a	một cái, một con 
undervalued	định giá thấp
undervalues	giá trị thấp
undervaluing	định giá thấp
underwater	dưới nước
underwear	đồ lót
underweight	thiếu cân
underwent	trải qua
underwood	dưới rừng
underworld	thế giới ngầm
underwrite	bảo lãnh
underwriter	người bảo lãnh
underwriters	người bảo lãnh
underwrites	bảo lãnh
underwriting	Đánh giá rủi ro
underwritten	bảo lãnh
underwrote	bảo kê
undeserved	không được phục vụ
undeservedly	không đáng có
undeserving	không có giá trị
undesirability	không có khả năng
undesirable	không mong muốn
undesirables	không thể yêu cầu
undesirably	không thể tránh được
undesired	không mong muốn
undetectability	không thể phát hiện
undetectable	không thể phát hiện được
undetectably	không thể phát hiện được
undetected	không bị phát hiện
undetermined	không xác định
undeterred	không nản lòng
undetonated	không khai sinh
undeveloped	chưa phát triển
undiagnosable	không thể phân biệt được
undiagnosed	không được chẩn đoán
undid	undid
undifferentiated	không phân biệt
undigested	không tiêu
undignified	mất phẩm giá
undiluted	không pha loãng
undiminished	không bị hạn chế
undiplomatic	không bình thường
undirected	vô hướng
undiscerning	không quan tâm
undisciplined	vô kỷ luật
undisclosed	không tiết lộ
undiscovered	chưa được khám phá
undiscriminated	không phân biệt đối xử
undiscriminating	không phân biệt đối xử
undisguised	không che đậy
undisguisedly	không che đậy
undismayed	không bị phá hủy
undisplayed	không hiển thị
undisputed	không thể bàn cãi
undissipated	chưa được phát hành
undistinguished	không phân biệt được
undistorted	không bị biến dạng
undistributed	không phân phối
undisturbed	không bị quấy rầy
undivided	không phân chia
undo	Hoàn tác
undocumented	không có giấy tờ
undoing	hoàn tác
undoings	sự hoàn tác
undomesticated	không có tinh vi
undone	hoàn tác
undoubted	chắc chắn
undoubtedly	không nghi ngờ gì nữa
undress	cởi quần áo
undressed	cởi quần áo
undressing	cởi quần áo
undrinkability	không thể uống được
undrinkable	không thể uống được
undroppable	không thể thay đổi
undue	Thái quá
undulate	uốn lượn
undulated	uốn lượn
undulates	uốn lượn
undulating	nhấp nhô
undulation	uốn lượn
undulations	uốn lượn
unduly	quá mức
undying	bất diệt
unearned	chưa được khai phá
unearth	khai quật
unearthed	khai quật
unearthing	khai quật
unearthly	rõ ràng
unearths	khai quật
unease	khó chịu
uneasier	khó chịu hơn
uneasiest	khó chịu nhất
uneasily	khó chịu
uneasiness	lo lắng
uneasy	khó chịu
uneatable	khó chịu
uneaten	ăn thừa
uneconomic	không kinh tế
uneconomical	không kinh tế
unedifying	không sửa đổi
unedited	chưa chỉnh sửa
uneducated	không có học thức
unelectable	không thể chọn được
unelected	không được tuyển chọn
unemotional	không có cảm xúc
unemotionally	bất thường
unemployable	thất nghiệp
unemployed	thất nghiệp
unemployment	nạn thất nghiệp
unencrypted	không được mã hóa
unencumbered	không bị cản trở
unending	bất tận
unendingly	không ngừng
unendurable	không thể chữa được
unenforceable	không thể thi hành
unengaged	không bị ràng buộc
unenlightened	chưa được chứng ngộ
unenlightening	không sáng sủa
unentered	không được giải thích
unenthusiastic	không nhiệt tình
unenthusiastically	không nhiệt tình
unenviable	không thể gọi được
unequal	ngang nhau
unequalled	vô song
unequally	ngang nhau
unequivocal	rõ ràng
unequivocally	dứt khoát
unergonomic	khôn ngoan
unerring	unerring
unerringly	không mệt mỏi
unescorted	không được sắp xếp
unestablished	chưa được thành lập
unethical	phi đạo đức
unethically	trái đạo đức
unevaluated	không được đánh giá
uneven	không đồng đều
unevenly	không đều
unevenness	không đồng đều
uneventful	không bình thường
uneventfully	không bình thường
unexacting	không liên quan
unexamined	chưa khám phá
unexceptionable	không thể chấp nhận được
unexceptional	không có gì đặc biệt
unexcited	không thích thú
unexciting	khó chịu
unexpanded	không được mở rộng
unexpected	bất ngờ
unexpectedly	bất ngờ
unexpectedness	sự bất ngờ
unexpired	chưa hết hạn
unexplainable	không thể giải thích
unexplained	không giải thích được
unexploded	chưa nổ
unexploited	chưa được khai thác
unexplored	chưa được khám phá
unexpressed	không được giải thích
unexpurgated	không được phép
unfailing	không thành công
unfailingly	vô tình
unfair	không công bằng
unfairly	không công bằng
unfairness	không công bằng
unfaithful	không chung thủy
unfaithfulness	không chung thủy
unfalsifiable	không thể xác minh được
unfamiliar	không quen
unfamiliarity	xa lạ
unfancied	không có liên quan
unfashionable	không hợp thời trang
unfashionably	không hợp thời trang
unfasten	tháo ra
unfastened	cởi trói
unfastening	cởi trói
unfathomable	không thể hiểu được
unfathomed	không có kiến ​​thức
unfatigued	không mệt mỏi
unfavourable	không thuận lợi
unfavourably	không có lợi
unfavoured	không thích
unfeasible	không khả thi
unfeasibly	không thể tin được
unfed	mở ra
unfeeling	không có cảm giác
unfeelingly	không có cảm tình
unfeigned	không ký tên
unfelt	cởi ra
unfeminine	uneminine
unfenced	không có hàng rào
unfertilised	không được gia nhập
unfetchable	không thể tìm được
unfettered	không bị ràng buộc
unfilled	không được lấp đầy
unfinished	chưa xong
unfired	không được đốt cháy
unfirm	không xác nhận
unfit	không thích hợp
unfitness	không phù hợp
unfits	mở ra
unfitting	không thích hợp
unfix	bỏ sửa lỗi
unfixed	không cố định
unflagging	không gắn thẻ
unflattering	không đẹp
unflawed	không có luật pháp
unfledged	không có kiến ​​thức
unflinching	không nao núng
unflinchingly	không hề nao núng
unfocused	không tập trung
unfocussed	không tập trung
unfold	mở ra
unfolded	mở ra
unfolding	mở ra
unfolds	mở ra
unforced	không bị ép buộc
unfordable	không thể tìm thấy
unforeseeable	không lường trước được
unforeseen	không lường trước được
unforgettable	không thể nào quên
unforgivable	không thể tha thứ
unforgivably	không thể tha thứ
unforgiven	không tha thứ
unforgiving	không tha thứ
unformed	không định dạng
unforthcoming	không thể xảy ra
unfortunate	thật không may
unfortunately	Không may
unfortunates	không may mắn
unfounded	vô căn cứ
unfreeze	mở ra
unfreezing	mở ra
unfrequented	không có năng lực
unfriendlier	không thân thiện hơn
unfriendliest	không thân thiện nhất
unfriendliness	không thân thiện
unfriendly	không thân thiện
unfrozen	không đóng băng
unfruitful	không đầy đủ
unfulfillable	không thể điền được
unfulfilled	chưa hoàn thành
unfunded	không có tiền
unfunny	Không vui
unfurl	trương
unfurled	mở ra
unfurling	mở ra
unfurls	mở ra
unfurnished	không có đồ đạc
unfussy	không khéo léo
ungainly	vô duyên
ungenerous	khéo léo
ungenerously	khéo léo
ungentlemanly	quý ông
ungerminated	không chấm dứt
unglamorous	không hài hước
unglazed	không tráng men
ungodly	vô duyên
ungovernable	không thể vượt qua
ungoverned	không được quản lý
ungraceful	vô lễ
ungracious	vô duyên
ungraciously	vô duyên
ungrammatical	không có ngôn ngữ
ungrateful	vô ơn
ungratefully	vô ơn
ungrounded	không bao quanh
unguarded	không được bảo vệ
unguessable	không thể đoán được
unguided	không có hướng dẫn
ungulates	móng guốc
unhampered	không hài lòng
unhand	không vui
unhandy	bất hạnh
unhappier	không vui
unhappiest	không vui
unhappily	không vui
unhappiness	bất hạnh
unhappy	không vui
unharmed	không hề hấn gì
unhealthier	không lành mạnh
unhealthiest	không lành mạnh
unhealthily	không lành mạnh
unhealthy	không khỏe mạnh
unheard	không nghe
unheated	không được làm nóng
unheeded	không quan tâm
unhelpful	vô ích
unhelpfully	vô ích
unheralded	không báo trước
unheroic	không có anh hùng
unhesitating	không ngần ngại
unhesitatingly	không do dự
unhidden	bỏ ẩn
unhindered	không bị cản trở
unhinge	unhinge
unhinged	unhinged
unholy	không ngoan
unhonoured	không có ý kiến
unhook	tháo ra
unhooked	không có ý kiến
unhooks	tháo ra
unhoped	tháo ra
unhuman	vô nhân đạo
unhurried	không vội vã
unhurriedly	không vội vàng
unhurt	không bị tổn thương
unhygienic	không hợp vệ sinh
unhyphenated	không ghép nối
unicameral	đơn nguyên
unicellular	đơn bào
unicorn	con kỳ lân
unicorns	kỳ lân
unicycle	xe đạp một bánh
unicycles	xe đạp một bánh
unicyclist	một danh sách
unicyclists	người đi xe đạp
unideal	đoàn kết
unidentifiable	không xác định được
unidentified	không xác định
unidirectional	một chiều
unifiable	không thể xác định được
unification	sự hợp nhất
unified	thống nhât
unifier	bộ hợp nhất
unifies	thống nhất
uniform	đồng phục
uniformed	mặc đồng phục
uniformity	đồng nhất
uniformly	đồng nhất
uniforms	đồng phục
unify	thống nhất
unifying	thống nhất
unilateral	đơn phương
unilateralism	chủ nghĩa đơn phương
unilateralist	người theo chủ nghĩa thống nhất
unilaterally	đơn phương
unillustrated	không hợp nhất
unimaginable	không thể tưởng tượng được
unimaginably	không thể tưởng tượng được
unimaginative	không thể tưởng tượng
unimaginatively	ngoài sức tưởng tượng
unimagined	không tưởng tượng
unimpaired	không bị ghép đôi
unimpeachable	không thể hiểu được
unimpeded	không bị cản trở
unimplementable	không thể thực hiện được
unimplemented	chưa hoàn thành
unimportance	không quan trọng
unimportant	không quan trọng
unimpressed	không ấn tượng
unimpressive	không ấn tượng
unimproved	không được cải thiện
unincorporated	không hợp nhất
uninfected	không bị nhiễm
uninfluenced	không có rào cản
uninformative	không có kiến ​​thức
uninformatively	không có kiến ​​thức
uninformed	không biết
uninhabitable	không thể ở được
uninhabited	không có người ở
uninhibited	không bị cấm
uninhibitedly	độc lập
uninitialised	chưa được làm sạch
uninitiated	chưa bắt đầu
uninjured	không bị thương
uninspired	Không cảm hứng
uninspiring	không hấp dẫn
uninsulated	không cách nhiệt
uninsurable	không thể sửa chữa được
uninsured	không có bảo hiểm
unintellectual	không có kiến ​​thức
unintelligent	không thông minh
unintelligible	khó hiểu
unintended	ngoài ý muốn
unintentional	không cố ý
unintentionally	không cố ý
uninterested	không quan tâm
uninterestedly	không quan tâm
uninteresting	không thú vị
uninterpretable	không thể giải thích được
uninterpreted	không được giải thích
uninterrupted	không bị gián đoạn
uninterruptedly	không bị gián đoạn
unintuitive	không trực quan
uninvented	không được phát minh
uninvited	không được mời
uninviting	không mời
uninvolved	không được giải quyết
union	liên hiệp
unionisation	hợp nhất
unionised	hợp nhất
unionism	chủ nghĩa đoàn thể
unionist	đoàn viên
unionists	đoàn viên
unions	đoàn thể
unipolar	đơn cực
unique	duy nhất
uniquely	độc nhất
uniqueness	sự độc đáo
unisex	unisex
unison	đồng tâm
unisons	unisons
unissued	không liên quan
unit	đơn vị
unitary	nhất thể
unite	đoàn kết
united	thống nhất
unites	hợp nhất
unities	đoàn thể
uniting	hợp nhất
units	các đơn vị
unity	đoàn kết
universal	phổ quát
universalism	chủ nghĩa phổ quát
universalist	phổ quát
universality	tính phổ quát
universally	phổ biến
universals	phổ quát
universe	vũ trụ
universes	vũ trụ
universities	các trường đại học
university	trường đại học
unjam	cởi truồng
unjammed	cởi trần
unjamming	cởi quần áo
unjaundiced	không bị vàng da
unjust	oan uổng
unjustifiable	không chính đáng
unjustifiably	không chính đáng
unjustified	phi lý
unjustly	bất công
unjustness	oan uổng
unkempt	nhếch nhác
unkept	mở ra
unkind	không ngoan
unkindest	xấu nhất
unkindly	không tử tế
unkindness	không ngoan
unknightly	không qua đêm
unknowable	không thể biết được
unknowing	không biết
unknowingly	vô tình
unknown	không xác định
unknowns	không biết
unlabelled	không có nhãn
unlace	tháo rời
unlaced	không thay thế
unlacing	không thay đổi
unladen	không tải
unladylike	không giống ai
unlamented	không có chú thích
unlatching	tháo khớp
unlawful	trái pháp luật
unlawfully	bất hợp pháp
unlawfulness	trái pháp luật
unleaded	không chì
unlearn	không học
unlearned	không có mặt
unleash	giải phóng
unleashed	giải phóng
unleashes	giải phóng
unleashing	giải phóng
unleavened	không men
unless	trừ phi
unlicensed	không có giấy phép
unlike	không giống
unlikeable	không thể lay chuyển
unlikeliest	khó tin nhất
unlikelihood	không có khả năng
unlikeliness	không có khả năng
unlikely	không chắc
unlimited	vô hạn
unlined	không có đường viền
unlink	hủy liên kết
unlinked	hủy liên kết
unlisted	không công khai
unlit	không có đèn
unload	dỡ hàng
unloaded	dỡ hàng
unloading	dỡ hàng
unloads	dỡ hàng
unlock	mở khóa
unlocked	mở khóa
unlocking	mở khóa
unlocks	mở khóa
unloose	cởi trói
unlovable	không thể giải quyết được
unloved	không được yêu thương
unlovely	không yêu thương
unloving	sự yêu thương
unluckier	không may mắn hơn
unluckiest	không may mắn nhất
unluckily	không may mắn
unlucky	xui xẻo
unmade	chưa làm
unmagnified	không xác định
unmaintainable	không thể giải thích được
unmaintained	không màu mè
unmaking	tháo dỡ
unmanageable	không thể quản lý
unmanageably	không thể quản lý
unmanly	không có người lái
unmanned	không người lái
unmannerly	không người lái
unmapped	không có ánh xạ
unmarked	không được đánh dấu
unmarried	chưa kết hôn
unmask	vạch mặt
unmasked	lộ mặt
unmasks	vạch trần
unmatchable	không gì sánh được
unmatched	vô đối
unmeasurable	không thể đo lường được
unmechanised	không có tư cách
unmeetable	không thể đo được
unmelodious	không ngoan
unmemorable	không thể so sánh được
unmemorised	không nhớ
unmentionable	không thể giải quyết được
unmentionables	không có sứ mệnh
unmentioned	không được đề cập
unmercifully	không thương
unmerited	không có công
unmet	chưa được đáp ứng
unmissable	không thể bỏ lỡ
unmistakable	không thể nhầm lẫn
unmistakably	không thể nhầm lẫn
unmistakeable	không thể nhầm lẫn
unmistakeably	không thể nhầm lẫn
unmitigated	không điều khiển
unmixed	không trộn lẫn
unmnemonic	không nhớ
unmodifiable	không thể thay đổi
unmodified	không sửa đổi
unmolested	vô can
unmonitored	không giám sát
unmotivated	không có động lực
unmounted	tháo lắp
unmoved	bất di bất dịch
unmoving	bất di bất dịch
unmusical	không êm tai
unmusically	không có gì lạ
unmutilated	không bị xáo trộn
unmuzzled	không ăn cắp
unnamed	vô danh
unnatural	không tự nhiên
unnaturally	không tự nhiên
unnavigable	không thể tin được
unnecessarily	không cần thiết
unnecessary	không cần thiết
unneeded	không cần thiết
unnerve	khó chịu
unnerved	không kinh ngạc
unnerving	kinh khủng
unnervingly	đáng kinh ngạc
unnoted	không được chú ý
unnoticeable	không đáng chú ý
unnoticed	không được chú ý
unnumbered	không được đánh số
unobjectionable	không thể chối cãi
unobliging	không nhớ
unobservable	không thể quan sát được
unobservant	không liên quan
unobserved	không được quan sát
unobstructed	không bị cản trở
unobtainable	không thể đạt được
unobtrusive	không phô trương
unobtrusively	không phô trương
unoccupied	không có người ở
unofficial	không chính thức
unofficially	không chính thức
unopened	chưa mở
unopposed	không được áp dụng
unoptimised	chưa được kích thích
unordered	không có thứ tự
unorganised	không có tổ chức
unoriginal	không nguyên bản
unoriginality	không có nguồn gốc
unorthodox	không chính thống
unorthodoxy	không chính thống
unowned	không biết
unpack	giải nén
unpacked	giải nén
unpackers	người giải nén
unpacking	giải nén
unpacks	giải nén
unpaid	Chưa thanh toán
unpainted	chưa được sơn
unpaired	không ghép đôi
unpalatable	không ngon
unparalleled	vô song
unpardonable	không thể tha thứ
unparodied	chưa chuẩn bị
unpasted	chưa được dán
unpasteurised	chưa được kiểm tra
unpatriotic	không yêu nước
unpaved	không lát đá
unpeeled	chưa bóc vỏ
unperceived	không nhận ra
unpersonalised	không có cá nhân
unpersuaded	không điều khiển
unpersuasive	không có sức thuyết phục
unperturbed	không bị xáo trộn
unphysical	phi vật lý
unpick	bỏ chọn
unpicked	bỏ chọn
unpicking	mở ra
unplaced	không có chỗ đứng
unplanned	không có kế hoạch
unplayability	không thể chơi được
unplayable	không thể chơi được
unpleasant	khó chịu
unpleasantly	khó chịu
unpleasantness	sự không hài lòng
unpleasing	khó chịu
unploughed	rút ra
unplug	rút phích cắm
unplugged	rút phích cắm
unplugging	rút phích cắm
unpoetical	phi lý
unpolished	không được đánh bóng
unpolluted	không ô nhiễm
unpopular	không phổ biến
unpopularity	không phổ biến
unpopulated	không có dân cư
unportable	không thể di chuyển được
unpractical	không thực tế
unpractised	không được quảng cáo
unprecedented	chưa từng có
unprecedentedly	chưa từng có
unpredictability	không thể đoán trước
unpredictable	không thể đoán trước
unpredictably	không thể đoán trước
unpredicted	không được bảo vệ
unprejudiced	không thành kiến
unpremeditated	không chuẩn bị
unprepared	không chuẩn bị
unpreparedness	sự không chuẩn bị
unprepossessing	không chuẩn bị
unpressurised	không bị áp lực
unpretending	không giả vờ
unpretentious	khiêm tốn
unprincipled	không đạo đức
unprintable	chưa in ra
unprinted	chưa in
unprivileged	không có đặc quyền
unproblematic	không có vấn đề
unprocessed	chưa qua chế biến
unproductive	không hiệu quả
unprofessional	không chuyên nghiệp
unprofitable	không có lợi
unprofitably	không có lợi
unpromising	Không hứa hẹn
unprompted	không có năng lực
unpronounceable	không thể phát âm
unpronounced	không được phát âm
unprotected	không được bảo vệ
unprovable	không thể chứng minh được
unproved	không được chứng minh
unproven	chưa được chứng minh
unprovoked	vô cớ
unpublicised	không công khai
unpublishable	không thể vào danh sách
unpublished	chưa xuất bản
unpunctual	không đúng giờ
unpunctuality	không đúng giờ
unpunished	không bị trừng phạt
unqualified	không đủ tiêu chuẩn
unquantifiable	không thể chứng minh được
unquantified	không xác định
unquenchable	không thể vượt qua
unquestionable	không thể nghi ngờ
unquestionably	không nghi ngờ gì nữa
unquestioned	không nghi ngờ
unquestioning	không nghi ngờ gì
unquestioningly	không nghi ngờ gì nữa
unquiet	không cần thiết
unquote	không trích dẫn
unquoted	không được trích dẫn
unraisable	không thể nghe được
unravel	làm sáng tỏ
unravelled	làm sáng tỏ
unravelling	làm sáng tỏ
unravels	làm sáng tỏ
unreachable	không thể tiếp cận
unreached	chưa được giải tỏa
unread	chưa đọc
unreadability	không đọc được
unreadable	không đọc được
unready	chưa có
unreal	không có thật
unrealisable	không thể thực hiện được
unrealised	chưa thực hiện
unrealistic	không thực tế
unrealistically	không thực tế
unreality	không thực tế
unreasonable	không hợp lý
unreasonableness	sự vô lý
unreasonably	không hợp lý
unreasoned	không có lý do
unreasoning	lý luận
unreceived	không nhận ra
unreceptive	không nhận thức được
unrecognisable	không thể nhận ra
unrecognisably	không thể tin được
unrecognised	không được công nhận
unrecommended	không được khuyến khích
unreconciled	không được ghi lại
unreconstructed	không xây dựng
unrecorded	không được ghi chép
unrecoverable	không thể phục hồi
unredeemed	không được đền bù
unreduced	không có đạo đức
unrefereed	không quan tâm
unreferenced	không tham chiếu
unreferencing	không tham khảo
unrefined	không tinh chế
unreflected	không được bầu chọn
unreformed	không định dạng
unrefreshed	chưa được làm mới
unrefrigerated	không được làm lạnh
unregarded	không quan tâm
unregenerate	không tái sinh
unregistered	chưa đăng ký
unregulated	không được kiểm soát
unrehearsed	chưa hiểu
unrelated	không liên quan
unreleasable	không thể tin được
unreleased	chưa phát hành
unrelenting	không ngừng
unrelentingly	không ngừng
unreliability	không đáng tin cậy
unreliable	không đáng tin cậy
unreliably	không đáng tin cậy
unrelieved	không được tin tưởng
unremarkable	không đáng kể
unremarked	không được đánh dấu
unremembered	không được ghi nhớ
unremitting	không ngừng
unremittingly	không ngớt
unrepairable	không thể sửa chữa
unrepeatability	không thể hoạt động
unrepeatable	không thể lặp lại
unrepeated	chưa lặp lại
unrepentant	không ăn năn
unrepentantly	không thành khẩn
unreported	không báo cáo
unrepresentable	không thể đại diện
unrepresentative	không đại diện
unrepresented	không đại diện
unreproducible	không thể sản xuất
unrequested	không được yêu cầu
unrequited	không được đáp lại
unreserved	không được bảo quản
unreservedly	không bảo đảm
unresisting	không tồn tại
unresistingly	không bền bỉ
unresolvable	không thể giải quyết được
unresolved	chưa được giải quyết
unresponsive	không phản hồi
unresponsiveness	không phản hồi
unrest	bất ổn
unrestrained	không kiềm chế
unrestricted	không bị giới hạn
unrests	không nghỉ
unrevealed	chưa được tiết lộ
unrevealing	không tiết lộ
unrevised	không được kiểm chứng
unrewarded	không được chuyển tiếp
unrewarding	không chuyển tiếp
unriddle	mở ra
unripe	chưa chín
unrivalled	vô song
unroll	bỏ cuộn
unrolled	chưa cuộn
unrolling	mở ra
unromantic	unromantic
unruffled	không gợn sóng
unruliness	sự không cẩn thận
unruly	ngỗ nghịch
unsaddled	không có dây đeo
unsafe	không an toàn
unsafely	không an toàn
unsafeness	sự không an toàn
unsaid	chưa nói
unsaleable	không thể ăn được
unsalted	không ướp muối
unsanitary	mất vệ sinh
unsatisfactorily	không đạt yêu cầu
unsatisfactoriness	không đạt yêu cầu
unsatisfactory	không đạt yêu cầu
unsatisfiable	không hài lòng
unsatisfied	không hài lòng
unsatisfying	không hài lòng
unsaturated	không bão hòa
unsaved	chưa được cứu
unsavory	không có mùi vị
unsavoury	không có mùi vị
unscaled	không có quy mô
unscathed	không bị tổn thương
unscheduled	không theo lịch trình
unscientific	phi khoa học
unscramble	xáo trộn
unscrambled	không lộn xộn
unscrambles	tiếng nổ
unscrambling	lộn xộn
unscratched	không bị trầy xước
unscrew	tháo xoắn
unscrewed	tháo xoắn
unscrewing	tháo xoắn
unscripted	không có mô tả
unscrupulous	vô lương tâm
unseal	unseal
unsealable	không thể thấy được
unsealed	không niêm phong
unsealing	mở niêm phong
unseasonable	không hợp lý
unseasonably	vô lý
unseasonal	trái mùa
unseat	unseat
unseated	không tráng
unseaworthiness	không đáng tin cậy
unsecured	không đảm bảo
unseeded	không có lông
unseeing	không nhìn thấy
unseeingly	không quan tâm
unseemly	vô hình
unseen	không nhìn thấy
unselected	không được chọn
unselfconscious	không ý thức
unselfconsciously	vô thức
unselfish	không ích kỷ
unselfishly	không ích kỷ
unselfishness	tính không ích kỷ
unsellable	không thể bán được
unsensational	vô lý
unsent	chưa gửi
unsentimental	không tình cảm
unserviceable	không có kinh nghiệm
unserviced	không tin tưởng
unset	không đặt
unsettle	không yên
unsettled	không ổn định
unsettling	đáng lo ngại
unshackled	không bị trói
unshaded	không bị che khuất
unshakable	không thể lay chuyển
unshakeable	không thể lay chuyển
unshaken	vững chắc
unshaped	không định hình
unshapen	không mở
unsharable	không thể chia sẻ
unshared	không chia sẻ
unshaved	không cạo râu
unshaven	chưa cạo râu
unsheathed	không có vỏ bọc
unshielded	không được che chở
unshockable	không thể tin được
unshod	giấu giếm
unshorn	không có lông
unshrinking	không suy nghĩ
unsighted	khó coi
unsightly	khó coi
unsigned	chưa ký
unsimplified	không được đơn giản hóa
unsinkable	không thể chìm
unskilful	không siêng năng
unskilled	không có tay nghề
unsliced	không phức tạp
unsmiling	không vui vẻ
unsmilingly	đơn giản
unsmooth	không có răng
unsociable	không thể tách rời
unsocial	phi xã hội
unsoiled	không bẩn
unsold	không bán được
unsolder	không lạnh lùng
unsolicited	không được yêu cầu
unsolvable	không thể giải quyết
unsolved	chưa được giải quyết
unsophisticated	không phức tạp
unsophistication	không tinh vi
unsorted	không được sắp xếp
unsought	không mua được
unsound	không chắc chắn
unsoundness	không chắc chắn
unspanned	không có tuổi thọ
unspeakable	không thể nói ra
unspeakably	không thể nói được
unspecialised	không chuyên môn
unspecific	không cụ thể
unspecified	không xác định
unspectacular	không có kính
unspent	chưa tiêu
unspoiled	hoang sơ
unspoilt	Nguyên sơ
unspoken	không nói ra
unsporting	bóc tách
unstable	không ổn định
unstack	dỡ hàng
unstacked	không đóng gói
unstacking	dỡ hàng
unstained	không nhuộm màu
unstamped	không bị cản trở
unstated	không gắn bó
unsteadily	loạng choạng
unsteadiness	loạng choạng
unsteady	chông chênh
unsterilised	không có danh sách
unsticking	không dính
unstimulated	không được kích thích
unstinting	cởi áo ra
unstintingly	không cẩn thận
unstirred	không cố định
unstoppable	không thể ngăn cản
unstoppably	không thể ngăn cản
unstopped	không ngừng
unstrapped	không gói
unstressed	cởi trói
unstretchable	không thể thay đổi được
unstructured	không có cấu trúc
unstuck	tháo ra
unsubdued	không được phục vụ
unsubsidised	không có bí quyết
unsubstantial	không đáng kể
unsubstantiated	không có căn cứ
unsubstituted	không thay thế
unsubtle	không có vỏ bọc
unsubtly	không ngoan cố
unsuccessful	không thành công
unsuccessfully	không thành công
unsuitability	không phù hợp
unsuitable	không hợp
unsuitableness	không phù hợp
unsuitably	không thể tin được
unsuited	không phù hợp
unsullied	không có lông
unsung	không có
unsupervised	không giám sát
unsupportable	không thể hỗ trợ
unsupported	không được hỗ trợ
unsuppressed	không mặc quần áo
unsure	không chắc chắn
unsureness	không chắc chắn
unsurfaced	không có bề mặt
unsurpassable	không thể vượt qua
unsurpassed	vượt trội
unsurprised	không ngạc nhiên
unsurprising	không ngạc nhiên
unsurprisingly	không ngạc nhiên
unsurvivable	không thể lay chuyển
unsuspected	không nghi ngờ
unsuspecting	không nghi ngờ
unsustainable	không bền vững
unswappable	không thể áp dụng
unsweetened	không đường
unswerving	không lay chuyển
unswervingly	không lay chuyển
unsympathetic	không thông cảm
unsympathetically	không thông cảm
unsystematic	không có hệ thống
untactful	không chính xác
untagged	không được gắn thẻ
untainted	không sơn
untalented	không có tài
untamed	chưa được thuần hóa
untangle	gỡ rối
untangled	gỡ rối
untangling	gỡ rối
untapped	chưa được khai thác
untarnished	chưa được trang bị
untasted	chưa được nếm thử
untaught	không bắt được
untaxed	không có thuế
untaxing	tẩy lông
untempered	không được chăm sóc
untenability	không có khả năng
untenable	không thể đạt được
untended	ngoài ý muốn
unterminated	chưa kết thúc
untestable	không thể tin được
untested	chưa được kiểm tra
untethered	cởi trói
untextured	không có văn bản
unthinkable	không thể tưởng tượng được
unthinkably	không thể tưởng tượng được
unthinking	không suy nghĩ
unthinkingly	không suy nghĩ
unthoughtful	không suy nghĩ
untidier	bừa bộn
untidiest	không khéo léo
untidily	bừa bộn
untidiness	sự lộn xộn
untidy	không gọn gàng
untie	cởi trói
untied	cởi trói
unties	cởi trói
until	cho đến khi
untimely	không kịp thời
untiring	không mệt mỏi
untitled	không có tiêu đề
unto	đến
untold	chưa kể
untouchable	không thể chạm
untouchables	không thể chạm tới
untouched	không đụng chạm
untoward	bỏ qua
untraceable	không thể theo dõi
untraced	không được luyện tập
untrained	chưa qua đào tạo
untrammelled	không có nhãn hiệu
untransformed	không được chuyển đổi
untranslatable	không thể dịch được
untranslated	chưa được dịch
untransportable	không thể vận chuyển
untrappable	không thể kiểm chứng
untreatable	không thể điều trị được
untreated	không được điều trị
untried	chưa thử
untrodden	cởi trói
untroubled	không gặp rắc rối
untrue	không có thật
untrusted	không đáng tin cậy
untrustworthy	không đáng tin cậy
untrusty	không đáng tin cậy
untruth	không trung thực
untruthful	không trung thực
untruthfully	không trung thực
untruths	sai sự thật
unturned	chưa lật
untutored	không bị kiểm soát
untwist	cởi trói
untwisted	không có dây buộc
untying	cởi trói
untyped	không định hình
untypical	không điển hình
untypically	không có tính cách
unusable	không sử dụng được
unusably	không sử dụng được
unused	không sử dụng
unusual	không bình thường
unusually	bất thường
unutterable	không thể nói được
unutterably	không thể nghi ngờ
unvalidated	không xác thực
unvalued	không có giá trị
unvanquished	không bị đánh bại
unvarnished	chưa được trang bị
unvarying	không thay đổi
unvaryingly	không thể thay đổi
unveil	tiết lộ
unveiled	tiết lộ
unveiling	tiết lộ
unveils	tiết lộ
unventilated	không bình thường
unverifiable	không thể kiểm chứng
unverified	chưa được xác minh
unversed	không đảo ngược
unvisitable	không thể nhìn thấy
unvisited	không được tư vấn
unvoiced	không có hóa đơn
unwanted	không mong muốn
unwarily	bất đắc dĩ
unwarmed	không ấm áp
unwarned	không báo trước
unwarrantable	không chính đáng
unwarrantably	không chính đáng
unwarranted	không chính đáng
unwary	không cẩn thận
unwashed	chưa rửa
unwatchable	không thể tìm được
unwatched	chưa từng thấy
unwavering	không lay chuyển
unwaveringly	kiên định
unweaned	chưa ngâm rửa
unwearied	chưa khô
unweary	không quần áo
unwed	không muốn
unwedded	không có mã
unwedge	không có tiền
unweighted	không có trọng lượng
unwelcome	không được hoan nghênh
unwelcoming	không đến
unwell	không khỏe
unwholesome	bất thiện
unwieldy	khó di chuyển
unwilling	không muốn
unwillingly	không muốn
unwillingness	không muốn
unwind	thư giãn
unwindable	không thể rút ra
unwinding	tháo cuộn
unwinds	thư giãn
unwisdom	không thống trị
unwise	không khôn ngoan
